,mistake,correct_answer,context,question
10,['Rix Nicholas'],Dorothy,"In 1924, Rix Nicholas, again travelling with Dorothy Richmond, set sail for France, intending to exhibit her works in Europe. She voyaged on the Ormonde, which was also carrying the Australian Olympic team. She befriended several of the team members and painted a portrait of one for an Olympic artists' competition.Arriving in Paris in June, eventually Rix Nicholas rented a studio in Montparnasse, which had previously belonged to French artist Rosa Bonheur. An exhibition at the ""prestigious"" Georges Petit Galerie in Paris in January 1925 was a great success. It led to important sales, including to the Musée du Luxembourg, making her the only Australian woman to have more than one work in its collection and, according to one report, one of only three Australian artists represented at all at that time, the others being Rupert Bunny and Arthur Streeton. The exhibition led also to a tour of her works to London and British regional galleries, the first time any Australian artist had archived such prominence; between 1926 and 1928, her works were shown in Hull, Sunderland, Tyne and Wear, Bootle, Blackpool, Northampton, Warrington, Folkestone, Leicester, Derby, Gateshead and Leek in Staffordshire.The work purchased by the Luxembourg in 1925 was In Australia, a portrait of Ned Wright, manager of the property at Delegate where she had stayed in the early 1920s. He is portrayed on horseback, a pipe clasped in his exposed and bright teeth, with a panoramic backdrop of an Australian pastoral landscape. His stance is casual, self-assured and heroic, consistent with the up-beat nationalism of Australia at the time.",What is the first name of the person who had her work exhibited at the Georges Petit Galerie?
11,['Ronald Duncan'],Britten,"In February 1935, at Bridge's instigation, Britten was invited to a job interview by the BBC's director of music Adrian Boult and his assistant Edward Clark. Britten was not enthusiastic about the prospect of working full-time in the BBC music department and was relieved when what came out of the interview was an invitation to write the score for a documentary film, The King's Stamp, directed by Alberto Cavalcanti for the GPO Film Unit.
Britten became a member of the film unit's small group of regular contributors, another of whom was W. H. Auden. Together they worked on the documentary films Coal Face and Night Mail in 1935. They also collaborated on the song cycle Our Hunting Fathers (1936), radical both in politics and musical treatment, and subsequently other works including Cabaret Songs, On This Island, Paul Bunyan and Hymn to St. Cecilia. Auden was a considerable influence on Britten, encouraging him to widen his aesthetic, intellectual and political horizons, and also to come to terms with his homosexuality. Auden was, as David Matthews puts it, ""cheerfully and guiltlessly promiscuous""; Britten, puritanical and conventional by nature, was sexually repressed.In the three years from 1935 to 1937 Britten wrote nearly 40 scores for the theatre, cinema and radio. Among the film music of the late 1930s Matthews singles out Night Mail and Love from a Stranger (1937); from the theatre music he selects for mention  The Ascent of F6 (1936), On the Frontier (1938) and Johnson Over Jordan (1939); and of the music for radio, King Arthur (1937) and The Sword in the Stone (1939).In 1937 there were two events of huge importance in Britten's life: his mother died, and he met the tenor Peter Pears. Although Britten was extraordinarily devoted to his mother and was devastated at her death, it also seems to have been something of a liberation for him. Only after that did he begin to engage in emotional relationships with people his own age or younger. Later in the year he got to know Pears while they were both helping to clear out the country cottage of a mutual friend who had died in an air crash. Pears quickly became Britten's musical inspiration and close (though for the moment platonic) friend. Britten's first work for him was composed within weeks of their meeting, a setting of Emily Brontë's poem, ""A thousand gleaming fires"", for tenor and strings.During 1937 Britten composed a Pacifist March to words by Ronald Duncan for the Peace Pledge Union, of which, as a pacifist, he had become an active member; the work was not a success and was soon withdrawn. The best known of his compositions from this period is probably Variations on a Theme of Frank Bridge for string orchestra, described by Matthews as the first of Britten's works to become a popular classic. It was a success in North America, with performances in Toronto, New York, Boston, Chicago and San Francisco, under conductors including John Barbirolli and Serge Koussevitzky.",What is the name of the person that came to terms with their homosexuality?
12,['Raymond Briggs'],Waters,"Following the release of The Final Cut, Waters embarked on a solo career. In 1984, he released his first solo album, The Pros and Cons of Hitch Hiking, a project about a man's dreams across one night that dealt with Waters' feelings about monogamy and family life versus ""the call of the wild"". In the end the character, Reg, chooses love and matrimony over promiscuity. The album featured guitarist Eric Clapton, jazz saxophonist David Sanborn, and artwork by Gerald Scarfe. Kurt Loder described The Pros And Cons of Hitch Hiking as a ""strangely static, faintly hideous record"". Rolling Stone rated the album a ""rock bottom one star"". Years later, Mike DeGagne of AllMusic praised the album for its ""ingenious symbolism"" and ""brilliant use of stream of consciousness within a subconscious realm"", rating it four out of five stars.Waters began touring in support of the album, aided by Clapton, a new band, new material, and a selection of Pink Floyd favourites. Waters débuted his tour in Stockholm on 16 June 1984. The tour suffered from poor ticket sales and some performances at larger venues were cancelled; Waters estimated that he lost £400,000 on the tour. In March 1985, Waters went to North America to play smaller venues with the Pros and Cons Plus Some Old Pink Floyd Stuff—North America Tour 1985. The Pros and Cons of Hitch Hiking has been certified Gold by the RIAA.In 1986, Waters contributed songs and a score to the soundtrack of the animated movie When the Wind Blows, based on the Raymond Briggs book of the same name. His backing band featuring Paul Carrack was credited as The Bleeding Heart Band. In 1987, Waters released Radio K.A.O.S., a concept album based on a mute man named Billy from an impoverished Welsh mining town who has the ability to physically tune into radio waves in his head. Billy first learns to communicate with a radio DJ, and eventually to control the world's computers. Angry at the state of the world in which he lives, he simulates a nuclear attack. Waters followed the release with a supporting tour also in 1987.",What is the last name of the person who had tour dates cancelled?
13,['Anita Dixon'],Miss Emmy Brown,"The story opens with Georges Iscovescu recounting his story to a Hollywood film director at Paramount in an effort to earn some quick cash. Georges is a Romanian-born gigolo who has arrived in a Mexican border town seeking entry to the US. He has to endure a waiting period of up to eight years in order to obtain a quota number, living with other hopeful immigrants in the Esperanza Hotel. After six months he is broke and unhappy. When he runs into his former dancing partner Anita Dixon she explains how she quickly obtained US citizenship by marrying an American, who she then, just as quickly, divorced.
Georges resolves on the same plan. He soon targets visiting school teacher Miss Emmy Brown, who is in Mexico on a day trip with her class of about fifteen young boys. Georges manages to extend the time necessary to repair her broken down automobile.  Emmy and her pupils sleep in the lobby of the full-up Esperanza Hotel.  This provides Georges the opportunity to quickly and intensively woo Emmy in the early morning hours; she awakens to him sitting nearby and gazing at her lovingly. By claiming she is the exact image of the lost love of his life, his seemingly intense ardor toward a stranger is plausible, and they marry later that same day. However, George must wait some weeks before entering the US, and Emmy returns home with the boys.",What is the full name of the person that Georges marries? 
14,['the wrestlers'],Thunder,"Biker Queen, twin sister of Harley Mom, discovers the severed arm of her sister from the previous film. Upon discovering the surviving Bartender, she tortures him into telling her who killed Harley Mom. He reveals that it was Bozo and points her to a town where he lives. She knocks Bartender out and takes him with her to the town.
Prior to the events of the first film, the town was overrun by the monsters. A pair of small Mexican wrestlers named Thunder and Lightning were attacked by the monsters and Lightning's girlfriend was killed. Inside the jail, a ""Hobo"" was in a cell for dealing methamphetamine and questioned where his school bus (makeshift meth lab) is at. The Sheriff taunted him before being killed. A car salesman named Slasher found evidence of his wife cheating with one of his employees and barely escaped the monsters.
Biker Queen and four of her friends arrive in the deserted town with the Bartender, ignoring the dead bodies as they look for Bozo and cross paths with Slasher, his wife Secrets and the man she has an affair with, Greg. The group is attacked by a monster, which kills one of the biker girls, Tot Girl. The others and the Bartender make their way to Bozo's apartment, where they encounter Honey Pie, the girl who left the group from the first movie behind at the bar. Bartender brutally attacks her and knocks Honey Pie out of the window and onto the street. Honey Pie survives the fall and goes into hiding.
Slasher, Greg and Secrets receive a call from the wrestlers, but before they find them they are ambushed by the bikers. Both groups get to a garage where the brothers and their grandmother are hiding. The group then tries to make it to the jail, but the hobo has sealed himself in.","What are the names of the people Slasher, Greg and Secrets gets a call from?"
15,"[""People's Daily""]",The Founding of the Nation,"When the painting was unveiled in 1953, most Chinese critics were enthusiastic.  Xu Beihong, the president of CAFA and a pioneer in using realism in oil painting, admired the manner in which the work fulfilled its political mission, but complained that because of the colors, it barely resembled an oil painting.  He and others, though, saw that the painting opened a new chapter in Chinese art development.  Zhu Dan, head of the People's Fine Arts Publishing House, which would reproduce the painting for the masses, argued that it was more a poster than an oil painting.  Other artists stated that Dong's earlier works, such as Kazakh Shepherdess (1947) and Liberation (1949), were better examples of the new national style of art.  Senior Party leaders, though, approved of the painting, as art historian Chang-Tai Hung put it, ""seeing it as a testament to the young nation's evolving identity and growing confidence"".Soon after the unveiling, Jiang wanted to arrange an exhibition at which government officials, including Mao, could view and publicly endorse the new Chinese art.  He had connections in Mao's inner circle, and Dong and others organized it to be in conjunction with meetings at Zhongnanhai that Mao led. This was, most likely, the only time Mao attended an art exhibition after 1949.  Mao visited the exhibition three times in between meetings and especially liked The Founding of the Nation—the official photograph of the event shows Mao and Zhou Enlai viewing the canvas with Dong.  The chairman stared at the painting for a long time and finally said, ""It is a great nation.  It really is a great nation.""  Mao also stated that the portrayal of Dong Biwu was particularly well rendered.  As Dong Biwu was in the second row, mostly hidden by the large Zhu De, Mao was most likely joking, but the favorable reaction by the country's leader assured the success of the painting.The Founding of the Nation was hailed as one of the greatest oil paintings ever by a Chinese artist by reviewers in that country, and more than 500,000 reproductions were sold in three months.  Mao's praise helped boost the painting and its painter.  Dong's techniques were seen as bridging the gap between the elitist medium of oil painting and popular art, and as a boost to Jiang's position that realistic art could be politically desirable.  It was reproduced in primary and secondary school textbooks.  The painting appeared on the front page of People's Daily in September 1953, and became an officially approved interior decoration.  One English-language magazine published by the Chinese government for distribution abroad showed a model family in a modern apartment, with a large poster of The Founding of the Nation on the wall.  According to Chang-Tai Hung, the painting ""became a celebrated propaganda piece"".",What painting became an officially approved interior decoration?
16,['Burnett James'],Ravel,"In 1897 Ravel was readmitted to the Conservatoire, studying composition with Fauré, and taking private lessons in counterpoint with André Gedalge. Both these teachers, particularly Fauré, regarded him highly and were key influences on his development as a composer. As Ravel's course progressed, Fauré reported ""a distinct gain in maturity ... engaging wealth of imagination"". Ravel's standing at the Conservatoire was nevertheless undermined by the hostility of the Director, Théodore Dubois, who deplored the young man's musically and politically progressive outlook. Consequently, according to a fellow-student, Michel-Dimitri Calvocoressi, he was ""a marked man, against whom all weapons were good"". He wrote some substantial works while studying with Fauré, including the overture Shéhérazade and a violin sonata, but he won no prizes, and therefore was expelled again in 1900. As a former student he was allowed to attend Fauré's classes as a non-participating ""auditeur"" until finally abandoning the Conservatoire in 1903.In 1899 Ravel composed his first piece to become widely known, though it made little impact initially: Pavane pour une infante défunte (""Pavane for a dead princess""). It was originally a solo piano work, commissioned by the Princesse de Polignac. In 1897 he conducted the first performance of the Shéhérazade overture, which had a mixed reception, with boos mingling with applause from the audience, and unflattering reviews from the critics. One described the piece as ""a jolting debut: a clumsy plagiarism of the Russian School"" and called Ravel a ""mediocrely gifted debutant ... who will perhaps become something if not someone in about ten years, if he works hard."" Another critic, Pierre Lalo, thought that Ravel showed talent, but was too indebted to Debussy and should instead emulate Beethoven. Over the succeeding decades Lalo became Ravel's most implacable critic.From the start of his career, Ravel appeared calmly indifferent to blame or praise. Those who knew him well believed that this was no pose but wholly genuine. The only opinion of his music that he truly valued was his own, perfectionist and severely self-critical. At twenty years of age he was, in the words of the biographer Burnett James, ""self-possessed, a little aloof, intellectually biased, given to mild banter."" He dressed like a dandy and was meticulous about his appearance and demeanour. Orenstein comments that, short in stature, light in frame, and bony in features, Ravel had the ""appearance of a well-dressed jockey"", whose large head seemed suitably matched to his formidable intellect. During the late 1890s and into the early years of the next century, Ravel was bearded in the fashion of the day; from his mid-thirties he was clean-shaven.","What is the name of the person who was reportedly ""a marked man, against whom all weapons were good,"" according to fellow student Calvocoressi?"
17,['Lietzke'],Stef,"Stefen ""Stef"" Djordjevic is a Serbian American high school defensive back who is gifted in both sports and academics. He is seeking a college football scholarship to escape the economically depressed small western Pennsylvania town of Ampipe and a dead-end job and life working at the mill like his father and brother Greg. He dreams of becoming an engineer right after he graduates from college. Ampipe is a company town whose economy is dominated by the town's main employer, American Pipe & Steel, a steel mill struggling through the downturn of the early 1980s recession. Stef gets through his days with the love of his girlfriend, Lisa Lietzke, and his strong bond with his teammates.
Most of the film takes place after the big football game against undefeated Walnut Heights High School. Ampipe appears headed to win the game, when a fumbled handoff in the closing seconds—as well as Stefen's pass interference penalty earlier in the game—leads to a Walnut Heights victory. Following the game, Coach Burt Nickerson lambastes the fumbler in the locker room, telling him he ""quit"" the game. When Stefen retorts that the coach himself quit, the coach kicks him off the team.
In the aftermath, disgruntled Ampipe fans vandalize Coach Nickerson's house and yard. Stefen is present and is a reluctant participant, but is nonetheless seen by Nickerson as the vandals flee. From there, Stefen deals with personal battles, including dealing with the coach blackballing him among colleges because of his attitude and participation in the desecration of Nickerson's yard and house. Stefen gets in an argument with Lisa, and his best friend Brian declines a scholarship offer to USC and plans to marry his pregnant girlfriend.",What name does Lisa's boyfriend go by?
18,['Gunner'],Jess Wade,"Jess Wade, a former member of a gang of outlaws led by Vince Hackett, was led to believe that an old flame, Tracy Winters, wanted to meet him in a seedy Mexican saloon.  Jess saw Billy Roy Hackett, Vince's younger brother, summoning Vince and the other members of the gang into the saloon, and realized he was being set up.  Jess ordered the bar patrons to leave before a shootout ensued.  Making a break for the door, Jess was stopped by Gunner, another gang member, and was forced to relinquish his gun and to go with them to their hideout in the mountains.  Vince later told him that the gang had stolen a gold-plated cannon that was used by Emperor Maximilian in his ill-fated fight against popular Mexican leader Benito Juarez.  Vince informed him that, according to a wanted poster, Jess was in the gang who stole the cannon and had sustained a neck wound as a result of being shot by one of the guards.
Ordering his men to subdue Jess on the ground, Vince used a branding iron to burn his neck.  They took his horse, leaving him stranded.  He captured a wild horse in the desert and saddle-broke it.  The gang's motive was to force a ransom from the town they stole the cannon from, but the gang also used the cannon to hold the townspeople at bay.  Only Wade can save the people from his former gang.",What is the full name of the person who was forced to relinquish their gun?
19,['Dr. Angela Kent'],John,"Kathleen Davis is a 13-year-old who lives in a big house with a nanny, a butler, maids, and no mother. Her father, John Davis, spends most of his time at work, and has little time to spend with his daughter. She dreams of a traditional family, and tells her friends that she has such a family. Because of this fib, she cannot invite any friends to her home, as they will see the truth.
Kathleen and her nanny, Mrs. Farrell, have a contentious relationship. Mr. Davis dismisses the nanny, and hires a psychologist named Dr. Angela Kent to look after the young girl for the summer. He has begun seeing a woman named Lorraine Bennett, whom he considers marrying. But Lorraine and Kathleen dislike each other intensely. Instead, Kathleen envisions Dr. Kent as the perfect mother for her, and wife for her father. When this seems unlikely, Kathleen runs away from home. After a confrontation with Lorraine and Dr. Kent, Mr. Davis decides that he, too, prefers the doctor. The film ends happily, as Kathleen is reunited with her father and his new fiancée, the doctor.",What is the first name of the person that is considering marriage to Lorraine Bennett?
20,['Ralph'],Sue,"While cleaning one of his father's rifles as a birthday surprise, young Ed Jr. accidentally shoots his mother. Ed never forgives his son for this, and the two become estranged. Years later, while Ed and his friends are trying to think of something to do for their college's fall break, Big Ed calls, and demands Ed come to his beachfront condominium, and close it up for the winter. Ed's friends convince him to accept the job, and take them with him, so it will be finished quicker, and they can spend the rest of their break hanging around the condo.
Ed's group arrives at the condo, which Big Ed is passed out drunk in the basement of, having dreams about killing his son. After dinner, everyone goes for a walk on the beach, and Mike and Linda go skinny dipping in the pool. Big Ed discovers the two, drowns Linda, and uses a trail of her and Mike's discarded clothes to lure Mike back to the condo, where he kills him with an outboard motor. A police officer stationed on the beach then stops by the condo, and is killed when Big Ed decapitates him with an axe.
The others return to the condo, and as his friends get ready for bed, Ralph searches for Mike and Linda, and is killed when Big Ed impales him through the throat with a pitchfork. When Ralph does not return, Sue goes looking for him, and is caught by Big Ed, who stabs her in the crotch with a fishing gaff, and chops her head off. Ed and Pam find Sue's mutilated remains, and the bodies of the other victims, in the basement, and are attacked by Big Ed. The two incapacitate Big Ed and try to drive away, but Big Ed jumps onto the car, and tries attacking them through the roof. Pam puts the car into reverse, and backs into a wall, crushing Big Ed into it, and cutting him in half at the waist. When a police car arrives, one of the deputies goes to inspect Big Ed's body, and has one of his legs sliced off when Big Ed springs to life. As Ed and Pam look on in horror, Big Ed finally dies laughing maniacally.",What is the name of the last person Big Ed kills? 
21,"[""opera L'Orfeo""]",Monteverdi,"Claudio Giovanni Antonio Monteverdi (Italian: [ˈklaudjo monteˈverdi] (listen); 15 May 1567 (baptized) – 29 November 1643) was an Italian composer, string player and choirmaster. A composer of both secular and sacred music, and a pioneer in the development of opera, he is considered a crucial transitional figure between the Renaissance and the Baroque periods of music history.
Born in Cremona, where he undertook his first musical studies and compositions, Monteverdi developed his career first at the court of Mantua (c. 1590–1613) and then until his death in the Republic of Venice where he was maestro di capella at the basilica of San Marco. His surviving letters give insight into the life of a professional musician in Italy of the period, including problems of income, patronage and politics.
Much of Monteverdi's output, including many stage works, has been lost. His surviving music includes nine books of madrigals, large-scale sacred works such as his Vespro della Beata Vergine (Vespers) of 1610, and three complete operas. His opera L'Orfeo (1607) is the earliest of the genre still widely performed; towards the end of his life he wrote works for the commercial theatre in Venice, including Il ritorno d'Ulisse in patria and L'incoronazione di Poppea.
While he worked extensively in the tradition of earlier Renaissance polyphony, such as in his madrigals, he undertook great developments in form and melody, and began to employ the basso continuo technique, distinctive of the Baroque. No stranger to controversy, he defended his sometimes novel techniques as elements of a seconda pratica, contrasting with the more orthodox earlier style which he termed the prima pratica. Largely forgotten during the eighteenth and much of the nineteenth centuries, his works enjoyed a rediscovery around the beginning of the twentieth century. He is now established both as a significant influence in European musical history and as a composer whose works are regularly performed and recorded.",What is the last name of the person who undertook his first musical studies and compositions in Cremona?
22,['Rolling Stone'],Wainwright,"Overall, reception of the album was positive. Stephen Holden of Blender called Wainwright's tribute ""a fabulous stunt in which a gay singer channeled the spirit of the ultimate gay icon"", and declared the album was ""as good an introduction to the great American songbook as any"". Pitchfork Media's Stephen Troussé wrote that Wainwright ""elegantly outdoes [Garland] on a couple of the ballads"" and also compliments guest performer Martha Wainwright, ""who turns in a stunning, showstopping 'Stormy Weather' in an appropriately brazen bid to steal the show"". In his review for Rolling Stone, Robert Christgau stated it was ""a relief to hear him essay the show tunes and Tin Pan Alley chestnuts of this tribute album"". Furthermore, he wrote that the songs ""expand [Wainwright's] melodic compass"", allowing him to ""bring something new to them too – namely, sexuality in the sensuality as opposed to gender-preference sense"". Dave Hughes of Slant Magazine had positive comments about the album: ""That Wainwright has the temerity to cover such a bona fide classic—and the chops to pull it off without breaking a limb or his brain—speaks both to his ambition and to his prodigious abilities.""The album did receive some criticism. After noting Garland's lifelong attempt to master pitch and articulation, Christgau claimed Wainwright's habit of ""slid[ing] past notes and draw[ing] out the final syllables of lines are signatures indistinguishable from tics"". Entertainment Weekly's Chris Willman wrote that Wainwright's ""delicate upper range is nicely attuned to some of the ballads, but anything that requires belting is pretty much a loss"". Mark Edwards of The Times called Wainwright's performance an acquired taste, stating his ""trademark delivery"" is ""lazy and somewhat slurred"". Dave Hughes' review pointed out Wainwright's ""problem with the brassy high notes in an otherwise energetic take on 'That's Entertainment'"", but admits it would be unfair to hold this against him since Garland's live performance was not perfect either. Hughes appropriately notes, ""Ain't nobody perfect"".",What is the name of the person that Robert Christgau stated it was a relief to hear him eassay the show tunes?
23,['Junior'],Widow Hen,"Foghorn Leghorn is filing his nails when Widow Hen comes by and asks a curmudgeonly old rooster Mr. Cackle to watch her young son, Junior, while she goes out. Mr. Cackle refuses, claiming Junior is destructive, disrespectful and incorrigible (""ME babysit with HIM?! You must be joshing!""); in fact, Mr. Cackle calls Junior ""that Monster of Yourn"" and says Junior ""makes Dennis the Menace look like an angel."" Mr. Cackle also points out that Junior is ""Bad, Bad, BAD!"". Foghorn overhears the proceedings and - hoping to silence Mr. Cackle from accusing Junior of things, and prove a point that "" there ain't no such thing as a bad boy"" - volunteers to watch Junior, who snickers : ""Oooh, he don't know me vewy well, do he?"". Just as Widow Hen goes, Foghorn promises that he and Junior will be friends, but Junior deliberately pokes Foghorn's bottom with a needle. Foghorn attempts to strangle Junior, but Mr. Cackle laughs at Foghorn's expense. Foghorn defends Junior by saying he was merely being ""playful.""
Foghorn first takes Junior to a box full of toys to play with while he takes a nap, but Junior scoffs and, after declaring them ""widdle kids' stuff,"" decides to cause trouble. First, upon finding a cement mixer in the barn, Junior decides to call a false alarm, which leads to Foghorn landing in the cement mixer; he comes out posed as Rodin's ""The Thinker"" statue (Junior: ""I'm not weawwy a scuwptor. It's just me mean widdle hobby!""). Foghorn recovers and threatens to report Junior's misbehavior to Widow Hen, but Junior counters by warning that he'll tell his mother that Foghorn is still ""booking the horses"". Foghorn tries to laugh this off, and does - but Junior says ""And they're off!"", causing Foghorn to briefly mimick watching a horse race, only to realize in shock that he's been tricked again.",Who is the incorrigible child the son of?
24,['Rose Madden'],Humphrey,"Private detective Humphrey Campbell tracks down a runaway woman, Louise, and ends up marrying her. On the way to Reno, Nevada, for their honeymoon, the couple stop at a bank, which is robbed by three men. 
Humphrey's employer, Oscar Flack of the Flack Missing Persons Bureau, tracks the newlyweds to a Reno hotel. (Across from the hotel, Louise spots an odd advertising clock, which has no hands. This has no bearing on anything, however.) Oscar wants him to find a missing man, Hal Benedict. Louise convinces him to take the case after Oscar promises her a fur coat for locating Hal. They go to see Warren Benedict, Hal's father. When Humphrey learns the FBI may be involved, he wants nothing to do with the case, but Oscar gets him to change his mind. Humphrey tries to keep Louise out of danger, but she has other ideas and keeps tagging along.
In the hotel bar, Humphrey learns that Hal was often seen with a woman, a redhead named Irene Donovan. A blonde named ""Gypsy"" Toland offers him a ride to Irene's place, but when Humphrey is spotted by a furious Louise, he gets out of the car. Humphrey later finds Irene dead. He also finds a very much alive Rose Madden, Hal's fiancée, who protests that she did not kill Irene. They drive off in Rose's car, then park and start talking. Louise spots him with the brunette Rose. Louise is ready to walk out on Humphrey, but the police will not let her leave because her husband is now a murder suspect. 
Humphrey goes to see Clyde Copley, a collections investigator who admits he was hired by Hal to retrieve letters Hal wrote to Irene; Irene had threatened to use them if he married Rose Madden. Humphrey is cleared of the murder when Police Chief Bates learns that he has a solid alibi.",What are the first names of the people who stop at the bank? 
25,['Vernon'],Julie,"Singing-and-dancing stage star Julie is told that husband Marty is reported missing in action during the Korean War. After a long waiting period, she makes plans to marry Vernon, who is Marty's best friend. After the marriage, Marty (who crashed but survived on an island) turns up at one of Julie's shows. Upon discovering Julie's new marriage, Marty demands his rights as her first husband.
Julie finds that she is legally married to both Marty and Vernon. She soon realises that she must choose who she wants to be with, if only to avoid being branded a bigamist. But Julie loves the idea of having two husbands and so she decides to try to live with them both, to the annoyance and disapproval of Marty and Vernon who both know that her idea will not work out.
Meanwhile, Julie's close friend Gwen has a secret crush on Marty and hopes to be with him, if only Julie could make her up mind as to who she wants. After a long serious decision and a talk with them both, Julie decides that she is more in love with Marty and she leaves Vernon, who has now fallen for Gwen.",Who does the man who falls for Gwen marry?
26,['Cyrano de Bergerac'],Comte De Guiche,"In seventeenth-century Paris, poet and supreme swordsman Cyrano de Bergerac stops a play from being shown because he ostensibly cannot stand the bombastic style of the principal actor, Montfleury. An annoyed aristocratic fop, the Vicomte de Valvert, provokes him into a duel by tritely insulting Cyrano's enormous nose. Cyrano first mocks his lack of wit, improvising numerous inventive ways in which Valvert could have phrased it (much to the amusement of the audience). He then composes a ballade for the occasion on the spot and recites it during the sword fight. With the last line, he stabs his opponent.
Cyrano's friend Le Bret, Captain of the Gascony guards, warns him he has made powerful enemies of his victim's friends, but he is unconcerned. When Le Bret presses him to reveal the real reason he hates Montfleury, Cyrano admits that he became jealous when he saw the actor smiling at his beautiful cousin Roxane. He confesses that he is in love with her, but harbors no hope of it being returned because of his nose. When he receives a request from Roxane to see her in the morning, he is finally emboldened to act.
Then pastry chef and fellow poet Ragueneau approaches him for help. Ragueneau has learned that a nobleman he had mocked with his verses, the Comte De Guiche, has hired a hundred ruffians to teach him a lesson. Cyrano escorts him, kills eight of the horde, and drives off the rest.
The next day, before he can tell Roxane of his feelings, she informs him that she has fallen in love with a handsome guardsman, Christian de Neuvillette, though she has not even spoken to him. Cyrano hides his devastation and agrees to help her.",What is the full name of the man that wants to teach a lesson to the fellow poet to the supreme swordsman?
27,['Annie Hayworth'],Melanie,"Melanie Daniels, a young socialite, meets criminal defense attorney Mitch Brenner in a San Francisco pet shop. Mitch wants to purchase a pair of lovebirds for his sister's eleventh birthday, but the shop has none. He recognizes Melanie from a court appearance, but she does not know him; he plays a prank by pretending to mistake her for a saleswoman. Melanie is infuriated by the prank—but finds herself romantically intrigued by Mitch.
Melanie purchases a pair of lovebirds and drives to Mitch's weekend address in Bodega Bay to deliver them. Wanting to surprise him, she rents a motorboat so she can approach the Brenner house from the bay instead of the road. She sneaks the birds inside the house and heads back across the bay. Mitch discovers the birds, spots Melanie's boat during her retreat, and drives around the bay to meet her. Melanie is attacked and injured by a seagull near shore on the town side. Mitch treats her abrasion and invites her to dinner; she hesitantly agrees.
Melanie gets to know Mitch, his domineering mother Lydia, and his younger sister Cathy. She also befriends local school teacher Annie Hayworth, Mitch's ex-lover. While spending the night at Annie's house, she and Annie are startled by a loud thud: a gull kills itself by flying into the front door. At Cathy's birthday party the next day, the guests are attacked by seagulls. The following evening, sparrows invade the Brenner home through the chimney.",What is the first name of the person who befriends a local school teacher?
28,['Dizzy Clayton'],Elena,"Robert and Cathy Wilson (Robert Donat and Deborah Kerr) are a timid married couple in 1940 London. He is a bookkeeper, she a bored housewife. However, their tedium-filled lives are drastically changed by the war. He enlists in the Royal Navy, while she (against his wishes) joins the Wrens. During the three years the couple are apart, they are transformed, each becoming much more self-confident.
Cathy's assertive new friend, Dizzy Clayton, helps her break out of her shell. She begins going out with Dizzy's cousin, naval architect Richard, who falls in love with her. However, she remains faithful (if unenthusiastically) to her husband.
Meanwhile, Robert toughens up on sea duty and in time becomes a petty officer. His hands are badly burned when his ship is sunk, but he stoically rows in the lifeboat for five days without complaint. He recuperates in a hospital, tended by Elena, a beautiful nurse. On the last night of his stay, he asks her out to dinner. He is attracted to her, but she informs him that she lost her beloved husband only six months earlier, kisses him, and leaves.
Robert and Cathy both receive ten-day leaves, but each dreads being reunited with the dowdy spouse each remembers and being forced back into the dreary life they shared.",Who tells the bookkeeper they recently lost their husband?
29,['Vaughan Williams'],Ravel,"Marcel Marnat's catalogue of Ravel's complete works lists eighty-five works, including many incomplete or abandoned. Though that total is small in comparison with the output of his major contemporaries, it is nevertheless inflated by Ravel's frequent practice of writing works for piano and later rewriting them as independent pieces for orchestra. The performable body of works numbers about sixty; slightly more than half are instrumental. Ravel's music includes pieces for piano, chamber music, two piano concerti, ballet music, opera, and song cycles. He wrote no symphonies or church works.Ravel drew on many generations of French composers from Couperin and Rameau to Fauré and the more recent innovations of Satie and Debussy. Foreign influences include Mozart, Schubert, Liszt and Chopin. He considered himself in many ways a classicist, often using traditional structures and forms, such as the ternary, to present his new melodic and rhythmic content and innovative harmonies. The influence of jazz on his later music is heard within conventional classical structures in the Piano Concerto and the Violin Sonata.
Ravel placed high importance on melody, telling Vaughan Williams that there is ""an implied melodic outline in all vital music"". His themes are frequently modal instead of using the familiar major or minor scales. As a result, there are few leading notes in his output. Chords of the ninth and eleventh and unresolved appoggiaturas, such as those in the Valses nobles et sentimentales, are characteristic of Ravel's harmonic language.Dance forms appealed to Ravel, most famously the bolero and pavane, but also the minuet, forlane, rigaudon, waltz, czardas, habanera and passacaglia. National and regional consciousness was important to him, and although a planned concerto on Basque themes never materialised, his works include allusions to Hebraic, Greek, Hungarian and gypsy themes. He wrote several short pieces paying tribute to composers he admired – Borodin, Chabrier, Fauré and Haydn, interpreting their characteristics in a Ravellian style. Another important influence was literary rather than musical: Ravel said that he learnt from Poe that ""true art is a perfect balance between pure intellect and emotion"", with the corollary that a piece of music should be a perfectly balanced entity with no irrelevant material allowed to intrude.","What is the name of the person whose new melodic and rhythmic content, as well as innovative harmonies, were often presented using traditional structures and forms?"
